date,log_price,oc_ret,ret1_z,ret5_z,ema5_10,vol_spike_10,hv5,RSI14_z,IV,Fear_index
2021-04-09,10.970652860809087,0.0011195381620979009,-0.21338042672570878,-0.5630338751303807,0.004720898420752214,0.8028098390560878,0.4561047975666933,-1.33859685267429,77.07,70.0
2021-04-10,10.99824458591514,0.027975725178892127,0.729052777288294,-0.33659187694111015,0.008913404210681623,1.3876504008911354,0.48919212331161227,-1.0057481386039333,81.54,70.0
2021-04-11,11.002140340384134,0.003903352784288527,-0.1549542381822335,0.10450746618290359,0.011215860582817207,0.8228949971016762,0.45027744220270693,-0.8608686702654436,82.61,76.0
2021-04-12,10.99976378140669,-0.0023133796009254,-0.3819974594550504,0.7445086454601022,0.011398630222783724,1.1124349290853448,0.2867339583443083,-1.2907291036370032,84.5,74.0
2021-04-13,11.059975590290321,0.06206129935494494,1.8655161300737566,1.140247475084219,0.02013051052395382,1.568129837521535,0.4302433493654888,-0.5838818871486507,88.64,74.0
2021-04-14,11.050247418006242,-0.009681162456757823,-0.7429893521762818,0.8633686552047477,0.0219692111517986,1.4662272503397324,0.4633485553340618,-0.7878772421333421,83.85,75.0
2021-04-15,11.053426151713417,0.0031837912385941315,-0.17217811934776078,0.3423854359972056,0.02205863766919362,0.9068786278481017,0.4576440527034983,-0.6997639454812346,77.08,79.0
2021-04-16,11.02410266068058,-0.028878663507219984,-1.388023792101162,-0.3406161627578932,0.016290589729783613,1.4742652383333583,0.5428855823695847,-1.3000964702422313,77.67,78.0
2021-04-17,11.002210835044194,-0.021654098219265606,-1.0194853726016282,-0.7188014179981055,0.008892113443784776,0.9524224471292864,0.5753513801377241,-1.0454941666601945,74.43,76.0
2021-04-18,10.935782138260963,-0.06427052192697906,-2.2317483441542603,-2.525141008308711,-0.005409793579806148,1.6438190422326153,0.40432017239895485,-2.042011581441184,88.4,79.0
2021-04-19,10.926534345840967,-0.009205163097922913,-0.24472500710863676,-2.2386153754681,-0.014442755243121167,0.9930038382307323,0.4054140438361961,-2.0386200596144946,83.2,74.0
2021-04-20,10.940667601685737,0.014233602489451443,0.5610194715347044,-1.7862186308472783,-0.01656041668061474,0.9148180381570788,0.4567236577125972,-1.5083564075967892,82.96,73.0
2021-04-21,10.892798794062363,-0.04674116083296416,-1.425823082309823,-1.7661321032728843,-0.023822225970281996,0.8163544922028774,0.4901469601786994,-1.5062885141433844,83.0,73.0
2021-04-22,10.853038190275313,-0.03898034529135149,-1.062960381275903,-1.731776238629191,-0.032320279475951036,1.1758832032250934,0.49690874130899604,-2.176180396574236,87.39,65.0
2021-04-23,10.84203163172766,-0.010946016662491165,-0.19488793704549023,-0.9664341466682702,-0.03691094848514059,1.3411131022625127,0.39141281697385893,-1.9365248740425995,89.31,55.0
2021-04-24,10.820734626968926,-0.020792572024254895,-0.4667465485068981,-1.0221086439182296,-0.04053435345840519,0.5937362198062173,0.3829633230271357,-2.114715976971632,94.08,37.0
2021-04-25,10.800937302584847,-0.019602644190038966,-0.36304321255099936,-1.271791839018169,-0.04319961040911251,0.621565666369572,0.2354218717228903,-1.9669081590905089,93.46,31.0
2021-04-26,10.896765065955865,0.10056971359021866,2.706413826364319,0.4133216725100379,-0.02763356294654312,1.0113041151613154,0.8896077255402833,-0.8575375944896444,82.66,27.0
2021-04-27,10.915306076898887,0.018714151379094456,0.5009777982386584,1.0664555200405754,-0.01458134224832636,0.6644757353615854,0.8132060165388214,-1.2257774726521966,77.53,50.0
2021-04-28,10.912288548105277,-0.003012980629488455,-0.02126521022595194,1.105749811955691,-0.007089783404927079,0.7464293302815356,0.800004599950416,-1.078850084849188,76.96,59.0
2021-04-29,10.88846444219873,-0.0235427302842876,-0.5435292694139005,1.0036906158166303,-0.006226894646785023,0.7260035476855554,0.8072061161328262,-1.1182831583497563,80.2,52.0
2021-04-30,10.962913140805849,0.07729007562319105,1.9279475518045488,1.9083330395666989,0.006167418949989651,0.9851063116004205,0.8407607733671407,-0.13558458172406582,75.09,51.0
2021-05-01,10.964750456024063,0.0017872602247074622,0.07250153853522416,0.7887793578044187,0.012674169158057438,0.6576097127995503,0.6083426525261535,0.12118702181002787,76.15,68.0
2021-05-02,10.943379207734395,-0.021093354626120393,-0.4676567139726014,0.38672345286700155,0.012083855267093617,0.6163002340642427,0.6540413071920803,0.5774642619048476,79.09,66.0
2021-05-03,10.953773894269311,0.010448898966580956,0.3953798329373459,0.5711340522549873,0.012604666512567964,1.0880639848282585,0.648946109350568,0.8748807308425591,81.79,61.0
2021-05-04,10.881813863299643,-0.06943191102791192,-1.5157026784809082,0.10166465917088861,0.0013919715548301895,1.4425770488969658,0.8457552110115396,0.14825777796379708,87.96,68.0
2021-05-05,10.958428478587585,0.07952365423958811,1.8456618320282914,0.16129806427506507,0.006689650378267259,1.2700197452937583,0.8592923972198324,1.4432886929745068,84.39,48.0
2021-05-06,10.940112374469736,-0.01814938372393256,-0.3314736348887132,-0.033572304204980516,0.006329247926899739,1.191203147681756,0.8686553327071983,1.6218285628759501,82.14,65.0
2021-05-07,10.9563132866797,0.016332858575641804,0.3936316793707504,0.37690274591111034,0.008217282493873436,1.218056296490942,0.8620432763277474,1.8093807735348093,80.56,64.0
2021-05-08,10.982951849587357,0.026983281482894153,0.5559293010865544,0.49284422011214046,0.01282992974428075,1.1375151249617363,0.8779833329888695,1.914038178165172,83.57,67.0
2021-05-09,10.97234210584348,-0.010628960123859898,-0.31998043561199774,1.1214563551692416,0.012877343485247156,1.0903747203649803,0.6148142142455917,1.7212989327785397,86.05,73.0
